S.No,QbId,Ref No (Payment No),Payment Date,Customer,Payment method,Deposit To Account Name,Invoice No,Journal No,QB Journal Id,QB Invoice Id,QB Credit Memo Id,Credit Memo No,Amount,Total,Reference No,Memo,Currency Code,Exchange Rate,REFERENCE_NO,TOTAL,CUSTOMER,QB_INVOICE_ID,ORIG_REFERENCE_NO,ORIG_TOTAL,ORIG_CUSTOMER,ORIG_QB_INVOICE_ID,MATCH_LEVEL,MATCHED_CRB_INDEX,MATCH_TYPE
2784,482055,,2024-05-24,SUN'S UPRISE HOTEL,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38596,,PHP,,38596,4200.0,SUN'S UPRISE HOTEL,,38596,4200.0,SUN'S UPRISE HOTEL,,,,
2785,482054,,2024-05-24,LESH WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38595,,PHP,,38595,4200.0,LESH WRS,,38595,4200.0,LESH WRS,,,,
2786,482053,,2024-05-24,PUREE WATER REFILLING,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38594,,PHP,,38594,4200.0,PUREE WATER REFILLING,,38594,4200.0,PUREE WATER REFILLING,,,,
2787,482075,,2024-05-23,PALO WATER SYSTEM,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,38657,,PHP,,38657,650.0,PALO WATER SYSTEM,,38657,650.0,PALO WATER SYSTEM,,,,
2788,482074,,2024-05-23,AQUA DREW WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,38656,,PHP,,38656,650.0,AQUA DREW WRS,,38656,650.0,AQUA DREW WRS,,,,
2789,482073,,2024-05-23,ALEJANDRO CRUDA,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,38655,,PHP,,38655,650.0,ALEJANDRO CRUDA,,38655,650.0,ALEJANDRO CRUDA,,,,
2790,482072,,2024-05-22,FENIZA D,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,38654,,PHP,,38654,650.0,FENIZA D,,38654,650.0,FENIZA D,,,,
2791,482071,,2024-05-22,BRGY LANTAY,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,38653,,PHP,,38653,650.0,BRGY LANTAY,,38653,650.0,BRGY LANTAY,,,,
2792,482070,,2024-05-22,BAWWA INC,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,1950.0,1950.0,38652,,PHP,,38652,1950.0,BAWWA INC,,38652,1950.0,BAWWA INC,,,,
2793,482079,,2024-05-27,FREEMONT FOODS CORPORATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,600.0,600.0,38661,,PHP,,38661,600.0,FREEMONT FOODS CORPORATION,,38661,600.0,FREEMONT FOODS CORPORATION,,,,
2794,482078,,2024-05-23,BRGY MENDIS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,1300.0,1300.0,38660,,PHP,,38660,1300.0,BRGY MENDIS,,38660,1300.0,BRGY MENDIS,,,,
2795,482077,,2024-05-23,GROASES WATER PURIFICATION SOURCES,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,38659,,PHP,,38659,650.0,GROASES WATER PURIFICATION SOURCES,,38659,650.0,GROASES WATER PURIFICATION SOURCES,,,,
2796,482076,,2024-05-23,BRGY KIMANAIT,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,650.0,650.0,38658,,PHP,,38658,650.0,BRGY KIMANAIT,,38658,650.0,BRGY KIMANAIT,,,,
2797,482131,,2024-05-27,GATEWAY FOOD CONTRACTING SERVICES,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,600.0,600.0,38669,,PHP,,38669,600.0,GATEWAY FOOD CONTRACTING SERVICES,,38669,600.0,GATEWAY FOOD CONTRACTING SERVICES,,,,
