MATCH_LEVEL,MATCH_TYPE,CRB_NO,CRB_CLIENT_NAME,CRB_TOTAL_AMOUNT,CRB_SI_NO,CRB_DATE,SAASANT_REFERENCE_NO,SAASANT_CUSTOMER,SAASANT_TOTAL,SAASANT_QB_INVOICE_ID,SAASANT_QbId,SAASANT_Ref No (Payment No),SAASANT_Payment Date,SAASANT_Customer,SAASANT_Payment method,SAASANT_Deposit To Account Name,SAASANT_Invoice No,SAASANT_Journal No,SAASANT_QB Journal Id,SAASANT_QB Invoice Id,SAASANT_QB Credit Memo Id,SAASANT_Credit Memo No,SAASANT_Amount,SAASANT_Total,SAASANT_Reference No,SAASANT_Memo,SAASANT_Currency Code,SAASANT_Exchange Rate
1,Reference No,3148,SRA,700.0,374236.0,2024-05-29,3148,SRA,400.0,321533,335519,,2024-05-29,SRA,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374236,,,321533.0,,,400.0,400.0,3148,,PHP,
1,Reference No,3199,SAN PEDRO MEMORIAL PARK INC.,500.0,373458.0,2024-05-31,3199,SAN PEDRO MEMORIAL PARK INC.,500.0,318878,335539,,2024-05-31,SAN PEDRO MEMORIAL PARK INC.,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,373458,,,318878.0,,,500.0,500.0,3199,,PHP,
1,Reference No,3836,ESPINOSA AQUAPOINT WRS,4700.0,374594.0,2024-05-29,3836,ESPINOSA AQUAPOINT WRS,2400.0,321917,335609,,2024-05-29,ESPINOSA AQUAPOINT WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374594,,,321917.0,,,2400.0,2400.0,3836,,PHP,
1,Reference No,4035,YANNEYES WRS,700.0,374214.0,2024-05-29,4035,YANNEYES WRS,400.0,321500,335639,,2024-05-29,YANNEYES WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374214,,,321500.0,,,400.0,400.0,4035,,PHP,
1,Reference No,4034,DEBIE C CRUZ LEV 1,700.0,374213.0,2024-05-29,4034,DEBIE C CRUZ LEV 1,400.0,321499,335638,,2024-05-29,DEBIE C CRUZ LEV 1,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374213,,,321499.0,,,400.0,400.0,4034,,PHP,
1,Reference No,4033,AQUABEST DAPAWAN,700.0,374212.0,2024-05-29,4033,AQUABEST DAPAWAN,400.0,321498,335637,,2024-05-29,AQUABEST DAPAWAN,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374212,,,321498.0,,,400.0,400.0,4033,,PHP,
1,Reference No,4038,AQUA FY WRS,700.0,374217.0,2024-05-29,4038,AQUA FY WRS,400.0,321503,335652,,2024-05-29,AQUA FY WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374217,,,321503.0,,,400.0,400.0,4038,,PHP,
1,Reference No,4037,WATER GENIE TUBURAN,700.0,374216.0,2024-05-29,4037,WATER GENIE TUBURAN,400.0,321502,335651,,2024-05-29,WATER GENIE TUBURAN,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374216,,,321502.0,,,400.0,400.0,4037,,PHP,
1,Reference No,4036,PSHS - MRC,700.0,374215.0,2024-05-29,4036,PSHS - MRC,400.0,321501,335650,,2024-05-29,PSHS - MRC,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374215,,,321501.0,,,400.0,400.0,4036,,PHP,
1,Reference No,4044,AQUA DE TABLAS,700.0,374223.0,2024-05-29,4044,AQUA DE TABLAS,400.0,321510,335658,,2024-05-29,AQUA DE TABLAS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374223,,,321510.0,,,400.0,400.0,4044,,PHP,
1,Reference No,4043,IRISH WRS MINERAL,700.0,374222.0,2024-05-29,4043,IRISH WRS MINERAL,400.0,321509,335657,,2024-05-29,IRISH WRS MINERAL,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374222,,,321509.0,,,400.0,400.0,4043,,PHP,
1,Reference No,4042,BGY DOÑA TRINIDAD LEV 3,700.0,374221.0,2024-05-29,4042,BGY DOÑA TRINIDAD LEV 3,400.0,321507,335656,,2024-05-29,BGY DOÑA TRINIDAD LEV 3,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374221,,,321507.0,,,400.0,400.0,4042,,PHP,
1,Reference No,4041,AQUA DOHA WRS,700.0,374220.0,2024-05-29,4041,AQUA DOHA WRS,400.0,321506,335655,,2024-05-29,AQUA DOHA WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374220,,,321506.0,,,400.0,400.0,4041,,PHP,
1,Reference No,4040,TICAH WRS,700.0,374219.0,2024-05-29,4040,TICAH WRS,400.0,321505,335654,,2024-05-29,TICAH WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374219,,,321505.0,,,400.0,400.0,4040,,PHP,
